Time,Clean,LessNoisy,Noisy,MMSELessNoisy,MMSENoisy
0.796000,-0.736249,-0.945436,-0.934398,-0.514809,-1.434407
0.798000,-0.374770,-0.291754,-1.143403,-0.403553,-0.337893
0.800000,0.000000,0.309722,0.240705,-0.027982,-0.736111
0.802000,0.374756,0.462684,1.984371,0.608004,-0.038299
0.804000,0.736250,0.517922,1.561747,0.860591,0.627698
0.806000,1.071648,1.132243,2.890150,0.959047,0.783733
0.808000,1.369095,1.951797,2.092008,1.286392,1.496098
0.810000,1.618030,1.581827,1.894695,2.004104,2.100511
0.812000,1.809655,1.859285,1.431132,1.993395,2.264328
0.814000,1.937169,1.129729,2.876657,1.952719,2.440179
0.816000,1.996054,2.133761,3.462985,1.419049,2.296208
0.818000,1.984228,2.382921,0.768325,2.010575,2.470954
0.820000,1.902112,2.039604,2.121978,2.133995,2.327167
0.822000,1.752609,1.757742,2.115600,1.936132,1.935209
0.824000,1.541025,1.629771,1.791279,1.436847,1.770617
0.826000,1.274852,1.336362,1.374600,1.327337,0.961830
0.828000,0.963505,1.288822,1.454716,1.084755,0.959083
0.830000,0.618039,0.346765,1.218754,0.855942,0.691389
0.832000,0.250664,0.384970,1.555264,0.141177,0.519223
0.834000,-0.125576,-0.341694,0.297259,-0.062832,0.322061
0.836000,-0.497383,-0.800329,0.079340,-0.644502,-0.667496
0.838000,-0.851555,-0.893412,-0.380205,-1.118392,-0.837861
0.840000,-1.175561,-1.098362,0.314346,-1.343936,-1.386629
0.842000,-1.457934,-1.986023,-1.174795,-1.403482,-1.171978
0.844000,-1.688658,-1.063006,-2.312342,-2.139683,-1.854208
